BusinessDate;PurchaseDate;RepurchaseDate;CashAmount;Term;Rate;CashTakerID
9.12.19;11.12.19;11.01.20;320000000;1M;2.29;3
9.12.19;11.12.19;11.01.20;150000000;1M;2.3;10
9.12.19;11.12.19;11.01.20;75000000;1M;2.34;2
9.12.19;11.12.19;11.03.20;110000000;3M;2.51;2
9.12.19;11.12.19;11.06.20;60000000;6M;2.56;10
10.12.19;12.12.19;14.01.20;210000000;1M;2.571896722;8
10.12.19;12.12.19;14.01.20;100000000;1M;2.34;4
10.12.19;12.12.19;14.01.20;330000000;1M;2.447875855;5
10.12.19;12.12.19;12.03.20;110000000;3M;2.5;7
11.12.19;13.12.19;14.01.20;90000000;1M;2.305;1
11.12.19;13.12.19;14.01.20;230000000;1M;2.35;7
11.12.19;13.12.19;14.01.20;80000000;1M;2.3;9
12.12.19;16.12.19;15.01.20;122000000;1M;2.34;10
12.12.19;16.12.19;15.01.20;60000000;1M;2.335;6
12.12.19;16.12.19;15.01.20;200000000;1M;2.3;9
12.12.19;16.12.19;16.03.20;90000000;3M;2.44;3
12.12.19;16.12.19;16.03.20;310000000;3M;2.56;2
13.12.19;17.12.19;17.01.20;100000000;1M;2.26;9
13.12.19;17.12.19;17.01.20;150000000;1M;2.39;10
13.12.19;17.12.19;17.01.20;310000000;1M;2.29;2
13.12.19;17.12.19;17.01.20;130000000;1M;2.414163197;8
16.12.19;18.12.19;18.01.20;105000000;1M;2.39;9
16.12.19;18.12.19;18.01.20;400000000;1M;2.583598518;8
17.12.19;19.12.19;21.01.20;140000000;1M;2.25;4
17.12.19;19.12.19;21.01.20;80000000;1M;2.28;10
18.12.19;20.12.19;21.01.20;200000000;1M;2.25;7
18.12.19;20.12.19;21.01.20;300000000;1M;2.26;2
18.12.19;20.12.19;21.01.20;510000000;1M;2.24;4
18.12.19;20.12.19;21.01.20;140000000;1M;2.347441073;5
18.12.19;20.12.19;20.03.20;50000000;3M;2.46;1
18.12.19;20.12.19;20.03.20;90000000;3M;2.715438738;8
19.12.19;23.12.19;22.01.20;1020000000;1M;2.26;4
19.12.19;23.12.19;26.03.20;80000000;3M;2.5;7
19.12.19;23.12.19;24.06.20;60000000;6M;2.6;6
20.12.19;24.12.19;24.01.20;150000000;1M;2.27;3
25.12.19;27.12.19;3.01.20;140000000;1W;2.25;2
25.12.19;27.12.19;3.01.20;240000000;1W;2.22;1
25.12.19;27.12.19;28.01.20;140000000;1M;2.23;2
25.12.19;27.12.19;27.03.20;70000000;3M;2.44;10
26.12.19;30.12.19;6.01.20;110000000;1W;2.16;1
26.12.19;30.12.19;6.01.20;120000000;1W;2.15;4
26.12.19;30.12.19;6.01.20;300000000;1W;2.24;4
26.12.19;30.12.19;6.01.20;150000000;1W;2.554332227;8
26.12.19;30.12.19;6.01.20;280000000;1W;2.18;7
26.12.19;30.12.19;6.01.20;100000000;1W;2.23;4
26.12.19;30.12.19;30.03.20;100000000;3M;2.43;4
31.12.19;31.12.19;1.01.20;21589525.49;ON;1.608077164;3
31.12.19;31.12.19;1.01.20;35212417.61;ON;1.472122984;1
31.12.19;31.12.19;1.01.20;22556540.26;ON;1.388931701;10
31.12.19;31.12.19;1.01.20;12973263.27;ON;2.095671391;8
31.12.19;31.12.19;1.01.20;65842009;ON;1.351821307;5
31.12.19;31.12.19;1.01.20;16628671.18;ON;1.5234769;7
31.12.19;31.12.19;1.01.20;72299992.6;ON;1.69192424;9
31.12.19;31.12.19;1.01.20;19904543.04;ON;1.670649857;4
31.12.19;31.12.19;1.01.20;29406703.13;ON;1.721954813;4
31.12.19;31.12.19;1.01.20;40230235.24;ON;1.29164594;5
31.12.19;31.12.19;1.01.20;17445879.38;ON;2.144121637;5
31.12.19;31.12.19;1.01.20;29246185.49;ON;1.736293099;9
31.12.19;31.12.19;1.01.20;30988595.53;ON;1.892509102;2
31.12.19;31.12.19;1.01.20;94749717.04;ON;1.903200356;2
31.12.19;31.12.19;1.01.20;27983123.54;ON;0.958640094;9
31.12.19;31.12.19;1.01.20;36838612.54;ON;1.315361479;7
31.12.19;31.12.19;1.01.20;30671554.7;ON;1.590243711;1
31.12.19;31.12.19;1.01.20;44720590.25;ON;1.415462857;6
31.12.19;31.12.19;1.01.20;30950743.38;ON;1.254025806;1
31.12.19;31.12.19;1.01.20;20613197.16;ON;1.654005916;6
31.12.19;31.12.19;1.01.20;20938172.97;ON;1.353241897;10
31.12.19;31.12.19;1.01.20;110539269.2;ON;1.468395546;4
31.12.19;31.12.19;1.01.20;26127650.73;ON;2.247350975;8
31.12.19;31.12.19;1.01.20;18564164.09;ON;1.363017467;4
31.12.19;31.12.19;1.01.20;45975144.43;ON;1.867405004;8
31.12.19;31.12.19;1.01.20;41479964.34;ON;1.182480325;4
31.12.19;31.12.19;1.01.20;72268854;ON;2.002695381;10
31.12.19;31.12.19;1.01.20;43770084.31;ON;1.715393293;4
31.12.19;31.12.19;1.01.20;30610472.57;ON;2.065959257;5
31.12.19;31.12.19;1.01.20;24288263.72;ON;2.288412725;2
27.12.19;31.12.19;7.01.20;140000000;1W;2.11;7
27.12.19;31.12.19;7.01.20;140000000;1W;2.16;6
27.12.19;31.12.19;7.01.20;650000000;1W;2.21;2
27.12.19;31.12.19;7.01.20;130000000;1W;2.2;10
27.12.19;31.12.19;31.01.20;120000000;1M;2.22;3
27.12.19;31.12.19;31.01.20;100000000;1M;2.18;10
27.12.19;31.12.19;31.03.20;90000000;3M;2.44;7
3.01.20;3.01.20;6.01.20;100000000;ON;2.15;3
3.01.20;3.01.20;6.01.20;110000000;ON;2.14;9
3.01.20;3.01.20;6.01.20;140000000;ON;2.17;4
3.01.20;3.01.20;6.01.20;130000000;ON;2.274357684;5
3.01.20;3.01.20;6.01.20;220000000;ON;2.11;7
3.01.20;3.01.20;6.01.20;100000000;ON;2.13;6
3.01.20;3.01.20;6.01.20;100000000;ON;2.14;2
3.01.20;3.01.20;6.01.20;140000000;ON;2.353731246;5
3.01.20;3.01.20;6.01.20;100000000;ON;2.14;4
3.01.20;3.01.20;6.01.20;150000000;ON;2.291092336;5
3.01.20;3.01.20;6.01.20;70000000;ON;2.05;7
3.01.20;3.01.20;6.01.20;140000000;ON;2.328671939;5
3.01.20;3.01.20;6.01.20;110000000;ON;2.13;6
3.01.20;3.01.20;6.01.20;96000000;ON;2.114984073;8
3.01.20;3.01.20;6.01.20;150000000;ON;2.12;9
3.01.20;3.01.20;6.01.20;120000000;ON;2.18;4
3.01.20;3.01.20;6.01.20;130000000;ON;2.05;10
3.01.20;3.01.20;6.01.20;111000000;ON;2.07;4
3.01.20;3.01.20;6.01.20;100000000;ON;2.1;7
3.01.20;3.01.20;6.01.20;117000000;ON;2.08;6
3.01.20;3.01.20;6.01.20;140000000;ON;2.11;1
3.01.20;3.01.20;6.01.20;210000000;ON;2.07;10
3.01.20;3.01.20;6.01.20;300000000;ON;2.248692893;5
3.01.20;3.01.20;6.01.20;330000000;ON;2.14;7
3.01.20;3.01.20;6.01.20;130000000;ON;2.13;1
3.01.20;3.01.20;6.01.20;130000000;ON;2.186759935;8
3.01.20;3.01.20;6.01.20;100000000;ON;2.05;7
3.01.20;3.01.20;6.01.20;90000000;ON;2.11;2
3.01.20;3.01.20;6.01.20;70000000;ON;2.1;1
3.01.20;3.01.20;6.01.20;120000000;ON;2.16;10
3.01.20;3.01.20;6.01.20;60000000;ON;2.18;7
3.01.20;3.01.20;6.01.20;96000000;ON;2.230943445;8
3.01.20;3.01.20;6.01.20;100000000;ON;2.454074559;5
3.01.20;3.01.20;6.01.20;59000000;ON;2.2;1
3.01.20;3.01.20;6.01.20;60000000;ON;2.11;7
3.01.20;3.01.20;6.01.20;62000000;ON;2.09;3
3.01.20;3.01.20;6.01.20;220000000;ON;2.14;9
3.01.20;3.01.20;6.01.20;95000000;ON;2.13;6
3.01.20;3.01.20;6.01.20;140000000;ON;2.13;7
3.01.20;3.01.20;6.01.20;80000000;ON;2.459356183;8
3.01.20;3.01.20;6.01.20;100000000;ON;2.11;2
3.01.20;3.01.20;6.01.20;250000000;ON;2.15;10
3.01.20;3.01.20;6.01.20;230000000;ON;2.14;3
3.01.20;3.01.20;6.01.20;50000000;ON;2.07;1
3.01.20;3.01.20;6.01.20;78000000;ON;2.236235135;5
3.01.20;3.01.20;6.01.20;140000000;ON;2.09;3
3.01.20;3.01.20;6.01.20;1030000000;ON;2.12;3
3.01.20;3.01.20;6.01.20;120000000;ON;2.17;2
3.01.20;3.01.20;6.01.20;130000000;ON;2.16;4
3.01.20;3.01.20;6.01.20;140000000;ON;2.1;3
3.01.20;3.01.20;6.01.20;120000000;ON;2.18;6
3.01.20;3.01.20;6.01.20;110000000;ON;2.19;6
3.01.20;3.01.20;6.01.20;310000000;ON;1.96;9
3.01.20;3.01.20;6.01.20;120000000;ON;2.14;10
3.01.20;3.01.20;6.01.20;60000000;ON;2.210446601;5
3.01.20;3.01.20;6.01.20;110000000;ON;2.09;9
3.01.20;3.01.20;6.01.20;100000000;ON;2.09;3
3.01.20;3.01.20;6.01.20;100000000;ON;2.11;6
3.01.20;3.01.20;6.01.20;100000000;ON;2.1;6
3.01.20;3.01.20;6.01.20;150000000;ON;2.14;9
3.01.20;3.01.20;6.01.20;70000000;ON;2.05;4
3.01.20;3.01.20;6.01.20;100000000;ON;2.14;2
3.01.20;3.01.20;6.01.20;620000000;ON;2.16;3
1.01.20;3.01.20;10.01.20;100000000;1W;2.14;3
1.01.20;3.01.20;10.01.20;90000000;1W;2.15;7
6.01.20;6.01.20;7.01.20;100000000;ON;2.261760828;8
6.01.20;6.01.20;7.01.20;120000000;ON;1.95;2
6.01.20;6.01.20;7.01.20;1030000000;ON;2.05;10
6.01.20;6.01.20;7.01.20;120000000;ON;2.13;2
6.01.20;6.01.20;7.01.20;320000000;ON;2.11;6
6.01.20;6.01.20;7.01.20;104000000;ON;2.11;2
6.01.20;6.01.20;7.01.20;150000000;ON;2.209894673;5
6.01.20;6.01.20;7.01.20;198000000;ON;2.459660698;8
6.01.20;6.01.20;7.01.20;120000000;ON;2.1;2
6.01.20;6.01.20;7.01.20;70000000;ON;2.03;1
6.01.20;6.01.20;7.01.20;150000000;ON;1.99;4
6.01.20;6.01.20;7.01.20;130000000;ON;2.04;6
6.01.20;6.01.20;7.01.20;110000000;ON;2.04;7
6.01.20;6.01.20;7.01.20;130000000;ON;2.06;2
6.01.20;6.01.20;7.01.20;750000000;ON;2.12;7
6.01.20;6.01.20;7.01.20;130000000;ON;2.11;6
6.01.20;6.01.20;7.01.20;112000000;ON;2.01;7
6.01.20;6.01.20;7.01.20;120000000;ON;2.364582845;8
6.01.20;6.01.20;7.01.20;100000000;ON;2.06;4
6.01.20;6.01.20;7.01.20;130000000;ON;2.15;6
6.01.20;6.01.20;7.01.20;95000000;ON;2;1
6.01.20;6.01.20;7.01.20;80000000;ON;2.05;2
6.01.20;6.01.20;7.01.20;100000000;ON;2.495672821;8
6.01.20;6.01.20;7.01.20;105000000;ON;2.08;2
6.01.20;6.01.20;7.01.20;150000000;ON;2.242710845;5
6.01.20;6.01.20;7.01.20;150000000;ON;2.14;9
6.01.20;6.01.20;7.01.20;70000000;ON;1.94;10
6.01.20;6.01.20;7.01.20;110000000;ON;2.455702403;8
6.01.20;6.01.20;7.01.20;150000000;ON;2.16;6
6.01.20;6.01.20;7.01.20;112000000;ON;2.082128954;5
6.01.20;6.01.20;7.01.20;150000000;ON;2;7
6.01.20;6.01.20;7.01.20;140000000;ON;2.03;6
6.01.20;6.01.20;7.01.20;120000000;ON;2.05;3
6.01.20;6.01.20;7.01.20;90000000;ON;2.06;4
6.01.20;6.01.20;7.01.20;90000000;ON;2.504726042;8
6.01.20;6.01.20;7.01.20;120000000;ON;1.92;7
6.01.20;6.01.20;7.01.20;220000000;ON;2.07;6
6.01.20;6.01.20;7.01.20;80000000;ON;2.07;9
6.01.20;6.01.20;7.01.20;140000000;ON;1.99;1
6.01.20;6.01.20;7.01.20;110000000;ON;2.08;3
6.01.20;6.01.20;7.01.20;420000000;ON;2.146189171;8
6.01.20;6.01.20;7.01.20;90000000;ON;2.234301385;5
6.01.20;6.01.20;7.01.20;140000000;ON;2.234128083;5
6.01.20;6.01.20;7.01.20;200000000;ON;2.315592051;5
7.01.20;7.01.20;8.01.20;110000000;ON;2.053579597;5
7.01.20;7.01.20;8.01.20;50000000;ON;2.01;2
7.01.20;7.01.20;8.01.20;100000000;ON;2.07;7
7.01.20;7.01.20;8.01.20;390000000;ON;1.94;4
7.01.20;7.01.20;8.01.20;420000000;ON;2.09;3
7.01.20;7.01.20;8.01.20;340000000;ON;2.06;10
7.01.20;7.01.20;8.01.20;120000000;ON;2.01;7
7.01.20;7.01.20;8.01.20;220000000;ON;1.96;7
7.01.20;7.01.20;8.01.20;250000000;ON;2.09;9
7.01.20;7.01.20;8.01.20;200000000;ON;2.324549662;5
7.01.20;7.01.20;8.01.20;250000000;ON;1.96;9
7.01.20;7.01.20;8.01.20;130000000;ON;1.96;9
7.01.20;7.01.20;8.01.20;140000000;ON;1.99;7
7.01.20;7.01.20;8.01.20;800000000;ON;2.05;7
7.01.20;7.01.20;8.01.20;280000000;ON;2.1;6
7.01.20;7.01.20;8.01.20;113000000;ON;1.92;2
7.01.20;7.01.20;8.01.20;70000000;ON;1.94;4
7.01.20;7.01.20;8.01.20;90000000;ON;1.94;2
7.01.20;7.01.20;8.01.20;70000000;ON;1.98;2
7.01.20;7.01.20;8.01.20;150000000;ON;1.97;6
7.01.20;7.01.20;8.01.20;200000000;ON;2.05;6
7.01.20;7.01.20;8.01.20;80000000;ON;2.11;6
7.01.20;7.01.20;8.01.20;170000000;ON;1.92;10
7.01.20;7.01.20;8.01.20;65000000;ON;1.99;6
7.01.20;7.01.20;8.01.20;120000000;ON;2.05;10
7.01.20;7.01.20;8.01.20;150000000;ON;1.96;6
7.01.20;7.01.20;8.01.20;150000000;ON;1.91;4
7.01.20;7.01.20;8.01.20;70000000;ON;1.95;9
7.01.20;7.01.20;8.01.20;150000000;ON;2.160567819;8
7.01.20;7.01.20;8.01.20;90000000;ON;1.98;2
7.01.20;7.01.20;8.01.20;60000000;ON;2.04;6
7.01.20;7.01.20;8.01.20;110000000;ON;2.04;10
7.01.20;7.01.20;8.01.20;340000000;ON;2.364155393;8
7.01.20;7.01.20;8.01.20;220000000;ON;1.93;3
7.01.20;7.01.20;8.01.20;117000000;ON;2.01;6
7.01.20;7.01.20;8.01.20;60000000;ON;2.05;4
7.01.20;7.01.20;8.01.20;150000000;ON;1.91;4
7.01.20;7.01.20;8.01.20;307000000;ON;2.074003365;5
7.01.20;7.01.20;8.01.20;120000000;ON;1.98;1
7.01.20;7.01.20;8.01.20;80000000;ON;2.03;7
7.01.20;7.01.20;8.01.20;230000000;ON;2.06;6
7.01.20;7.01.20;8.01.20;90000000;ON;2.04;9
7.01.20;7.01.20;8.01.20;60000000;ON;2.254117873;5
7.01.20;7.01.20;8.01.20;85000000;ON;1.96;9
7.01.20;7.01.20;8.01.20;90000000;ON;2.12;1
7.01.20;7.01.20;8.01.20;400000000;ON;1.92;7
7.01.20;7.01.20;8.01.20;130000000;ON;1.96;3
7.01.20;7.01.20;8.01.20;110000000;ON;2.11;2
7.01.20;7.01.20;8.01.20;190000000;ON;2.12972767;5
7.01.20;7.01.20;8.01.20;110000000;ON;1.94;4
7.01.20;7.01.20;8.01.20;140000000;ON;1.96;9
7.01.20;7.01.20;8.01.20;160000000;ON;2.04;2
3.01.20;7.01.20;14.01.20;150000000;1W;2.2;1
3.01.20;7.01.20;7.02.20;140000000;1M;2.2;9
3.01.20;7.01.20;7.02.20;158000000;1M;2.27;1
3.01.20;7.01.20;7.02.20;140000000;1M;2.19;6
3.01.20;7.01.20;7.04.20;110000000;3M;2.4;7
8.01.20;8.01.20;9.01.20;50000000;ON;2.25016493;5
8.01.20;8.01.20;9.01.20;90000000;ON;2.17;4
8.01.20;8.01.20;9.01.20;350000000;ON;2.03;2
8.01.20;8.01.20;9.01.20;330000000;ON;2.03;6
8.01.20;8.01.20;9.01.20;250000000;ON;2.06;3
8.01.20;8.01.20;9.01.20;130000000;ON;2.09;1
8.01.20;8.01.20;9.01.20;150000000;ON;2.258083869;8
8.01.20;8.01.20;9.01.20;105000000;ON;2.11;4
8.01.20;8.01.20;9.01.20;220000000;ON;2.05;1
8.01.20;8.01.20;9.01.20;220000000;ON;2.338427382;8
8.01.20;8.01.20;9.01.20;90000000;ON;2.08;7
8.01.20;8.01.20;9.01.20;240000000;ON;2.04;2
8.01.20;8.01.20;9.01.20;220000000;ON;2.08;3
8.01.20;8.01.20;9.01.20;520000000;ON;2.209222281;5
8.01.20;8.01.20;9.01.20;150000000;ON;2.1;1
8.01.20;8.01.20;9.01.20;78000000;ON;2.12;2
8.01.20;8.01.20;9.01.20;100000000;ON;2.09;6
8.01.20;8.01.20;9.01.20;50000000;ON;2.04;9
8.01.20;8.01.20;9.01.20;210000000;ON;2;1
8.01.20;8.01.20;9.01.20;120000000;ON;2.03;4
8.01.20;8.01.20;9.01.20;70000000;ON;2.05;2
8.01.20;8.01.20;9.01.20;50000000;ON;2.06;7
8.01.20;8.01.20;9.01.20;150000000;ON;2.04;6
8.01.20;8.01.20;9.01.20;148000000;ON;2.1;6
8.01.20;8.01.20;9.01.20;530000000;ON;2.24;6
8.01.20;8.01.20;9.01.20;220000000;ON;2.24;4
8.01.20;8.01.20;9.01.20;100000000;ON;2.348495726;8
8.01.20;8.01.20;9.01.20;100000000;ON;2.334905025;8
8.01.20;8.01.20;9.01.20;95000000;ON;2.07;6
8.01.20;8.01.20;9.01.20;130000000;ON;2.11;1
8.01.20;8.01.20;9.01.20;50000000;ON;2.09;10
8.01.20;8.01.20;9.01.20;130000000;ON;2.15;3
8.01.20;8.01.20;9.01.20;120000000;ON;2.18;10
8.01.20;8.01.20;9.01.20;410000000;ON;2.04;3
8.01.20;8.01.20;9.01.20;60000000;ON;2.1;10
8.01.20;8.01.20;9.01.20;100000000;ON;2.09;3
8.01.20;8.01.20;9.01.20;50000000;ON;2.1;6
8.01.20;8.01.20;9.01.20;150000000;ON;2.240053743;5
8.01.20;8.01.20;9.01.20;90000000;ON;2.1;1
8.01.20;8.01.20;9.01.20;110000000;ON;2.12;6
8.01.20;8.01.20;9.01.20;60000000;ON;2.26;10
8.01.20;8.01.20;9.01.20;80000000;ON;2.306247333;8
8.01.20;8.01.20;9.01.20;115000000;ON;2.08;4
8.01.20;8.01.20;9.01.20;98000000;ON;2.08;2
8.01.20;8.01.20;9.01.20;60000000;ON;2.1;1
8.01.20;8.01.20;9.01.20;100000000;ON;2.12;2
8.01.20;8.01.20;9.01.20;90000000;ON;2.02;10
8.01.20;8.01.20;9.01.20;120000000;ON;2.314805594;8
8.01.20;8.01.20;9.01.20;100000000;ON;2.09;7
8.01.20;8.01.20;9.01.20;130000000;ON;2.13;4
8.01.20;8.01.20;9.01.20;360000000;ON;2.190985171;8
8.01.20;8.01.20;9.01.20;130000000;ON;2.05;4
8.01.20;8.01.20;9.01.20;105000000;ON;2.07;3
8.01.20;8.01.20;9.01.20;80000000;ON;2.659435081;8
8.01.20;8.01.20;9.01.20;130000000;ON;2.06;9
8.01.20;8.01.20;9.01.20;80000000;ON;2.09;4
6.01.20;8.01.20;15.01.20;120000000;1W;2.21;6
6.01.20;8.01.20;8.02.20;230000000;1M;2.27;6
6.01.20;8.01.20;8.04.20;150000000;3M;2.43;10
6.01.20;8.01.20;8.07.20;70000000;6M;2.56;7
6.01.20;8.01.20;8.07.20;100000000;6M;2.56;10
9.01.20;9.01.20;10.01.20;240000000;ON;2.01;9
9.01.20;9.01.20;10.01.20;220000000;ON;2.02;1
9.01.20;9.01.20;10.01.20;60000000;ON;2.06;6
9.01.20;9.01.20;10.01.20;210000000;ON;2.08;9
9.01.20;9.01.20;10.01.20;150000000;ON;2.04;2
9.01.20;9.01.20;10.01.20;100000000;ON;2.196311708;5
9.01.20;9.01.20;10.01.20;100000000;ON;2.1;1
9.01.20;9.01.20;10.01.20;175000000;ON;2.06;4
9.01.20;9.01.20;10.01.20;80000000;ON;1.91;10
9.01.20;9.01.20;10.01.20;80000000;ON;2.336946192;8
9.01.20;9.01.20;10.01.20;120000000;ON;2.07;2
